,V1,V2,V3,V4,V5
1296,주요정책 및 계획의 사전검토 기준 및 방법에 관한 연구,"유헌석,최준규,이수재,주용준,정성훈,",수탁연구,2002-07-10,1장 서론  1. 연구의 배경 및 필요성  2. 연구의 내용 및 방법2장 지속가능한 발전의 주요내용  2.1 지속가능한 발전의 등장  2.2 지속가능한 발전의 개념  2.3 지속가능성지표의 개념과 특징  2.4 지속가능한 발전을 위한 과제  2.5 주요정책 및 계획의 지속가능한 개념 적용의 의의3장 기존연구의 지속가능한 지표    3.1 지속가능한 지표의 선정기준  3.2 국내외의 지속가능한 지표 연구의 동향4장 주요정책 및 계획의 현황 및 문제점 분석  4.1 주요정책 및 계획의 현황파악  4.2 주요정책 및 계획의 유형별 분석  4.3 주요정책 및 계획들의 작성단계별 분석  4.4 주요정책 및 계획들의 계획특성별 분석5장 주요정책 및 계획별 검토지침  5.1 지속가능성 검토요건  5.2 주요정책 및 계획들과 OECD지표와의 관계  5.3 각분야별 지속가능발전전략  5.4 주요정책 및 계획별 작성지침6장 맺음말  6.1 PCSD 분과별 주요정책 및 계획들의 검토과정  6.2 검토서 작성체계참고문헌                                    
1297,환경위해성 평가를 위한 기초자료 확립과 심사사례 분석,"박용하,박정규, 방상원, 김정원, 윤정호, 정다운, 김남범, 원신원,",수탁연구,2002-06-30,I. 서문18  1. 연구의 배경 및 필요성18  2. 연구의 목적19  3. 연구 내용 및 연구 방법20II. LMO의 환경방출실험 및 상품화 현황22  1. 전 세계 환경방출실험 현황22  2. 주요 국가의 환경방출실험 현황24    2.1 미국24      2.1.1 유전자 변형 농작물24      2.1.2 유전자 변형 미생물28      2.1.3 유전자 변형 곤충29    2.2 캐나다30    2.3 유럽31  3. 상품화 현황35    3.1 국외35    3.2 국내40III. 유전자 변형 미생물의 사례연구42  1. LMO의 환경위해성평가 사례연구42  2. β-glucuronidase 활성력을 가진 유전자변형 Rhizobium leguminosaum의 환경위해성 평가 연구46    2.1. Rhizobium에 관한 개요46    2.2. 영국정부의 위해성 평가절차47      2.2.1 신청서의 처리 절차50      2.2.2 승인에 따른 환경방출 및 방출 결과보고52    2.3. 신청기관의 환경위해성 평가 신청 서류53    2.4. 영국정부의 위해성 평가 검토57    2.5. 사례연구에 대한 검토의견62IV. LMO의 환경위해성 자료의 관리63  1. OECD63    1.1 Biosafety 관련 업무63    1.2 회원국간 정보공유의 필요성 및 방법64    1.3 환경방출실험 및 생명공학제품 자료의 관리66  2. 유럽연합69  3. 미국75    3.1 환경방출실험 자료의 관리76      3.1.1 USDA/APHIS76      3.1.2 EPA80  4. 캐나다82  5. 우리나라85V. LMO의 환경위해성 평가모델의 사례분석87  1. LMO 환경 위해성 평가의 개념87  2. 사례연구88    2.1 Edmonds Institute의 LMO 환경위해성평가 모델89    2.2 Dtree92      2.2.1 LMO 작물에 대한 포괄적 위해성평가94      2.2.2 제초제 저항성 작물의 환경 위해성평가98    2.3 ICGEB의 Risk Assessment Searching Mechanism99    2.4. 기존 모델의 비교 및 분석102VI. 시범 Website 구축104  1. 개요104  2. 주요 내용 및 구성105    2.1 'Information Center for Risk Assessment of LMO'의 소개105    2.2 LMO의 환경 위해성 평가106    2.3 카르타헤나 의정서107    2.4 LMO의 환경 위해성 평가 관련 문헌108    2.5 LMO 개발 현황110  3. LMO의 환경위해성평가 시스템112    3.1 개요112    3.2 위해성 평가시스템의 구성 및 논리113      3.2.1 포괄적 위해성 평가113      3.2.2 LMO 작물의 환경위해성평가117    3.3 본 연구에서 개발한 LMO의 환경위해성평가 시스템의 특징 및 한계127  4. 웹 사이트의 향후 개선 및 관리131VII. 결론133약  어136참고문헌138부록142  부록 1. LMOs 상품목록142  부록 2. EU의 LMO 환경방출실험 자료147  부록 3. 캐나다의 LMO 환경방출실험 자료149  부록 4. 미국의 LMO 미생물 환경방출실험 자료152  부록 5. Dtree의 포괄적 LMO 환경위해성평가 결과180  부록 6. 주요 유전자 변형 작물의 생태적 특성186       6.1 콩186       6.2 옥수수194       6.3 벼206       6.4 감자215                                    
1298,지속가능한 사회를 향한 환경규제정책의 발전방향,"정회성,,",수시연구,2002-06-01,제1장 서장제2장 환경정책의 의의와 규제수단  제1절 환경문제와 시장의 실패  제2절 환경정책의 의의와 특수성  제3절 환경정책의 목표와 규제정책 수단제3장 환경정책의 실패와 환경규제 개혁동향  제1절 정부 및 정책 실패의 의의  제2절 환경규제정책과 정부의 실패  제3절 주요국가의 환경규제 개혁 추진동향 평가제4장 지속가능한 발전과 환경규제 정책방향  제1절 환경정책의 궁극적인 목표에 대한 재인식의 필요성  제2절 지속가능발전론의 전개와 의의  제3절 지속가능성의 개념과 기준  제4절 환경규제에 대한 지속가능성 체계와 정책방향제5장 우리나라 환경규제 실태와 규제개혁 평가  제1절 환경규제체계  제2절 환경규제개혁의 추진실태 평가  제3절 환경규제개혁 추진상황 및 평가제6장 지속가능한 발전을 위한 환경규제 개혁방향  제1절 기본방향  제2절 환경권의 실질적 보장을 위한 규제의 강화  제3절 환경규제의 유연화와 효율성 제고  제4절 환경관련 정책의 녹색화  제5절 환경규제 정책관련 제도의 정비제7장 요약 및 결론 참고문헌                                    
1299,환경서비스부문 주요 교역국의 양허현황 조사연구,"강상인,최대승,",수탁연구,2002-05-27,[연구결과요약]Ⅰ. WTO 환경서비스협상 동향   1. GATS 환경서비스협상 개요   1.1 협상 동향(2000-2001)   1.2 2002년 제1차 CTE 회의 및 제12차 GATS 환경서비스협상   1.3 UR-GATS 환경서비스 양허현황   1.4 우리나라 양허현황 및 협상대응 입장   2. 주요국 협상제안 분석   2.1 협상범위    2.2 양허제안   2.3 환경서비스 교역장벽 예시   2.4 각국 시장개방 지지논거   2.5 제안내용의 평가 Ⅱ. 세계 환경시장 현황 및 서비스 교역장벽   1. 세계 환경서비스시장 동향   1.1 세계 환경시장 개황   1.2 주요 지역시장 현황   2. 유형별 환경서비스 교역 장벽   2.1 국경간 공급과 해외소비 규제   2.2 법인설립과 외국인 투자 규제   2.3 서비스 공급자의 입국과 일시적 체류 규제   2.4 서비스 공급자의 국적 및 거주지 관련 제한   2.5 사업자와 전문서비스 공급자의 등록·면허 관련 규제   2.6 독점과 배타적 공급에 의한 규제   2.7 정부 보조금 지급에 의한 차별   2.8 토지 소유 및 기타 규제 Ⅲ. 주요국별 환경규제 및 제도적 진입장벽   1. 미국   1.1 환경관련 규제    1.2 투자진출상의 제한   1.3 정부조달 시장의 장벽   2. 캐나다   2.1 환경관련 규제   2.2 투자진출상의 제한   2.3 정부조달 시장의 장벽   3. EU    3.1 환경관련 규제    3.2 투자진출상의 제한   3.3 정부조달 시장의 장벽   4. 스위스   4.1 환경관련 규제     4.2 투자진출상의 제한   4.3 정부조달 시장의 장벽   5 일본    5.1 환경관련 규제   5.2 투자진출상의 제한   5.3 정부조달 시장의 장벽   6.                                    
1300,개도국의 온실가스 감축의무 참역방식에 관한 연구,"김용건,강만옥,",수탁연구,2002-05-01,목  차Ⅰ. 서언1Ⅱ. 기후변화협약 후속 협상동향3 1. 기후변화협약과 교토의정서3 2. 교토의정서상 감축의무 결정과정의 특징5 3. 교토 이후의 협상과정10  3.1. 제6차 당사국총회 속개회의 결과 및 평가11  3.2. 제6차 당사국총회 속개회의 주제별 협상결과14   3.2.1 개도국 지원14   3.2.2 교토메카니즘14   3.2.3 기타 의제 17  3.3. 제7차 당사국총회 협상결과18 4. 전망과 시사점20Ⅲ. 개도국의 온실가스 감축의무 참여방식에 대한 논의동향22 1. 온실가스 감축의무 참여방식의 유형22 2. 온실가스 감축의무 참여방식에 대한 기존의 연구결과25  2.1. 누적 배출량에 따른 감축의무 할당방식(브라질 제안)25  2.2. 일인당 배출량의 균등화27  2.3. 부문별 접근방식31  2.4. 배출집약도 방식33  2.5. 기타 36 3. 개도국 감축의무 참여에 관한 협상동향41Ⅳ. 우리나라의 이산화탄소 배출현황43 1. 이산화탄소 관련 주요 지표 현황43 2. 배출량 변화요인 분석44 3. 이산화탄소 배출삭감 잠재력 평가47Ⅴ. 감축의무 참여방식에 대한 평가51 1. 지표의 선택52  1.1. 지표의 불안정성: 과거 실적자료의 시사점56  1.2. 예측의 불확실성(1): 기존 전망자료의 시사점57  1.3. 예측의 불확실성(2): 추정모형(회귀분석)을 통한 해석60 2. 감축부담의 분배원칙64 3. 벌칙과 인센티브78Ⅵ. 결론 및 정책적 시사점81참고 문헌84 주요 국가들의 에너지 가격 비교(환율 및 PPP)88 기후변화와 지속가능발전에 관한 국제전문가회의 결과90                                    
1301,보전관리지역 등의 지정기준 및 협의방안에 관한 연구,"유헌석,송영일,",수탁연구,2002-04-30,"1장 서 론 1. 연구의 배경 및 목적 2. 연구의 방법 및 주요내용2장 준농림<U+2024>준도시지역의 현황 및 문제점 2.1 준농림지역의 개념 및 변천 2.2 전국 시<U+2024>군별 인구, 준도시, 준농림지역 변화 추이 2.3 준농림지역의 유형화 2.4 유형화 현황 및 특성 2.5 유형별 문제점 분석3장 관리지역의 관리방향 3.1 관리지역의 개념 및 지정목적 3.2 관리지역의 용도별 지정의 기본방향 3.3 관리지역의 용도별 관리방향4장 관리지역에 대한 용도지역 지정 기준 4.1 용도지역 지정의 기본원칙 및 방향 4.2 각 관리지역의 지정 방법 4.3 법제적 측면에서의 용도지역 지정 4.4. 환경적측면에서의 용도지역 지정5장 적용대상의 유형별 분류 5.1 전국 도별 변화추이 5.2 적용대상의 유형별 분류6장 평가(상대)지표의 적용 및 지역 유형별 평가 방안 6.1 가중치 설정 6.2 각 관리지역 지정을 위한 평가방법7장. 관리지역 지정에 대한 환경성검토 협의 방안 7.1 각 관리지역 지정의 기본방향 설정 7.2 각 관리지역 지정에 대한 환경성 검토체계 7.3 환경성 검토체계별 주요 검토 사항8장. 결론 8.1 연구결과 종합 8.2 연구의 의의 및 향후과제참고문헌부 록 1부 록 2부 록 3부 록 4                                    "
1302,생산자 재활용의무제도에서의 품목별 재활용비용 산정에 관한 연구,"김용건,,",수탁연구,2002-04-24,본 보고서의 발주처와의 계약에 의하여 원문은 제공하지 않습니다. KEI Homapge에서는 본 보고서의 요약문만 공개합니다.                                    
1303,기후변화협약 대응체제 연구,"조광우,한화진,",수탁연구,2002-04-12,"목차I. 연구개요11. 연구의 배경 및 목적12. 연구 내용 및 방법3Ⅱ. 기후변화와 기후변화협약51. 기후변화 개요51.1 기후변화 현황 및 예측51.2 지구온난화의 영향72. 한국의 기후변화 및 영향 개요103. 기후변화 관련 국제 연구 체제143.1 WCRP143.2 IGBP163.3 IHDP173.4 IPCC184. 기후변화협약 (UNFCCC)194.1 기후변화협약의 성립과정 및 현황194.2 기후변화협약 내용 및 의무사항215. 시사점24Ⅲ. 기후변화협약에 대한 주요국 정부의 대응체제 현황 및 시사점 271. 주요국 정부의 기후변화협약 대응체제 현황271.1 일본271.2 미국351.3 캐나다411.4 호주481.5 영국521.6 멕시코571.7 중국602. 주요국 기후변화협약 대응체제 비교 분석 및 시사점61Ⅳ. 한국 정부의 기후변화협약 대응체제 현황, 문제점 및 개선 대책651. 한국정부의 기후변화협약 대응체제 및 실적651.1 정부종합대책 추진기구 구성 및 역할651.1.1. 지구환경대책기구661.1.2. 기후변화협약 범정부대책기구681.1.3. 우리나라 대응체제의 특성731.2 추진실적731.2.1. 지구환경관계장관대책회의731.2.2. 기후변화협약 범정부대책기구752. 기후변화관련 법률 추진안 조사 분석 952.1 국내법률안952.1.1. 지구온난화대책법안 (환경부안)962.1.2. 지구온난화가스저감대책법안 (국회)1022.1.3. 기후변화관련종합대책을 위한 특별법안 (국민회의안)1032.1.4. 국내법안들의 비교 분석1032.2 국내법률안과 외국법률과의 비교분석1073. 문제점1153.1 정부 종합대책 추진기구의 문제점1153.2 정부종합대책 추진과정 및 추진실적상의 문제점1183.3 외국과의 비교시 문제점1234. 대책1284.1 기본적인 개선방향1284.2 기후변화협약 대응 정부체제 개선 대책 1364.2.1. 새로운 대응체제 구상1364.2.2. 기후변화 대응 국가 계획 수립 과정1384.2.3. 지구온난화대책위원회 및 지구온난화전략연구소 구성 및 역할1404.3 기후변화협약 대응 법률안1424.3.1. 입법의 필요성1424.3.2. 국내 법률안의 개선점144Ⅴ. 요약 및 정책 제언 1551. 요약 1552. 정책 제언 1642.1 기후변화협약 대응체제1642.2 국내 관련 법안의 개선안169참고문헌175부록[부록 Ⅰ] 한국의 지구온난화대책 법률안179[부록 Ⅱ] 일본의 지구온난화 대책 법률186[부록 Ⅲ] 미국의 지구변화연구법 195[부록 Ⅳ] IPCC의 Working Group Ⅰ의 보고서213[부록 Ⅴ] IPCC의 Working Group Ⅱ의 보고서236[부록 Ⅵ] IPCC의 Working Group Ⅲ의 보고서262[부록 Ⅶ] IPCC 3차보고서의 종합보고서280[부록 Ⅷ] 주요국가의 기후변화 영향평가 체제324[부록 Ⅸ] 기후변화협약 대응대책 추진 (안)333                                    "
1304,환경예산과 정책목표,"장기복,김홍균,노상환,박재성,",수시연구,2002-04-01,1. 서론 및 요약2. 2002년도 환경예산의 주요내용과중장기 운용방향  1. 지속가능한 발전을 위한 예산의 역할  2. 환경예산의 구조분석  3. 2002년도 환경예산의 주요내용  4. 환경예산의 개선방안과 중장기 운용방향  5. 결론3. 환경정보화예산의효율적 운용방안   1. 서론  2. 환경정보화의 현황 및 문제점     3. 환경정보화예산의 효율적 운용방안  4. 요약 및 결론  [부록] 정보화촉진 기본계획 (2002-2006)4. 환경관련 연구개발예산정책의 효율화 방안  1. 서론  2. R&D 예산의 특성과 정책과제  3. 환경관련 R&D 예산현황 및 문제점   4. 개선방안  5. 요약 및 결론  [부록] 계속비제도에 대한 개념 이해                                     
1305,국토환경보전계획 수립을 위한 기초연구,"변병설,윤갑식,",수탁연구,2002-04-01,제 목 차 례Ⅰ. 서론1Ⅱ. 국토환경의 현황 및 장래전망41. 국토환경의 현황42. 국토환경의 장래전망24Ⅲ. 국토환경 관련 법<U+2024>제도<U+2024>계획의 현황과 문제점321. 국토이용 관련 법<U+2024>제도<U+2024>계획의 현황과 문제점322. 환경보전 관련 법<U+2024>제도<U+2024>계획의 현황과 문제점41Ⅳ. 외국의 국토환경보전을 위한 사례분석 및 시사점781. 영국782. 독일873. 일본964. 외국 국토환경보전 사례의 시사점102Ⅴ. 국토환경보전계획의 기본 틀1041. 계획의 필요성1042. 계획의 이념과 기조1063. 계획의 성격과 기능1094. 계획수립의 기본방향110Ⅵ. 국토환경보전계획의 주요 내용1121. 계획 목표1122. 추진 전략1123. 주요 추진 과제115Ⅶ. 계획의 장단기 집행계획 1401. 핵심 추진 과제별 장단기 집행계획1402. 계획의 집행력 확보방안1443. 2단계 연구사업의 효과적인 추진방안145참고문헌151부록153                                    
1306,비무장지대 및 인접지역 자연환경의 효율적 관리방안에 관한 연구,"변병설,이병준,",수탁연구,2002-03-29,<제목차례>제1장 연구의 개요<U+00A0><U+00A0> 제1절 연구의 배경과 목적<U+00A0><U+00A0> 제2절 연구의 범위와 방법<U+00A0>제2장 비무장지대 및 인접지역의 이해<U+00A0><U+00A0> 제1절 비무장지대 및 인접지역의 연혁과 현황<U+00A0><U+00A0> 제2절 비무장지대와 인접지역에 대한 인문사회적 이해<U+00A0><U+00A0> 제3절 비무장지대와 인접지역에 대한 정책의 변화<U+00A0><U+00A0> 제4절 비무장지대와 인접지역의 갈등구조<U+00A0>제3장 비무장지대 및 인접지역의 일반현황<U+00A0><U+00A0> 제1절 물리적 특성<U+00A0><U+00A0> 제2절 인구현황<U+00A0><U+00A0> 제3절 자연환경현황<U+00A0><U+00A0> 제4절 산업현황<U+00A0><U+00A0> 제5절 관광 및 문화재 현황<U+00A0><U+00A0> 제6절 토지이용 현황<U+00A0><U+00A0> 제7절 북한과의 교류현황<U+00A0>제4장 비무장지대 및 인접지역의 자연환경 관리방안<U+00A0><U+00A0> 제1절 기본방향의 설정<U+00A0><U+00A0> 제2절 남북한 자연환경 공동관리방안<U+00A0><U+00A0> 제3절 국토 및 접경생태네트워크의 구축<U+00A0><U+00A0> 제4절 자연경관과 생물다양성 관리 및 이용방안<U+00A0>제5장 (접경)생물권보전지역의 이론적 배경<U+00A0><U+00A0> 제1절 생물권보전지역<U+00A0><U+00A0> 제2절 접경생물권보전지역<U+00A0>제6장 (접경)생물권보전지역의 국내·외 사례<U+00A0><U+00A0> 제1절 설악산 생물권보전지역<U+00A0><U+00A0> 제2절 백두산/장백산 생물권보전지역(북한/중국)<U+00A0><U+00A0> 제3절 외국의 생물권보전지역 우수사례<U+00A0><U+00A0> 제4절 접경생물권보전지역<U+00A0>제7장 DMZ 접경생물권보전지역의 지정과 관리방안<U+00A0><U+00A0> 제1절 DMZ TBR의 지정과정<U+00A0><U+00A0> 제2절 DMZ TBR의 관리원칙과 기준<U+00A0><U+00A0> 제3절 DMZ TBR의 관리방안<U+00A0><U+00A0> 제4절 DMZ TBR의 관리수단과 관리기구<U+00A0><U+00A0> 제5절 DMZ TBR의 지속가능한 발전<U+00A0>제8장 향후 연구과제<U+00A0>< 참고문헌 >                                    
1307,국토생태네트워크의 추진전략에 관한 연구,"전성우,박소현,",수탁연구,2002-03-04,제목차례1. 국토생태네트워크의 구축 필요성 및 목적1□ 필요성 1□ 목적설정 1□ 연구의 과정 및 방법 12. 국토생태네트워크 개념정립3□ 선행연구 고찰 및 한계점 3□ 생태네트워크의 개념63. 국토생태네트워크를 위한 여건분석 19□ 우리나라 자연환경의 특성 및 문제점 19□ 국토생태네트워크 구축을 위한 대상공간 분석 224. 국토생태네트워크를 위한 여건분석 32□ 국토이용 및 관리속성 분석 32□ 생태네트워크의 위협요인325. 국토생태네트워크의 기본모형 작성43□ 국토생태네트워크의 기본모형43□ 한반도 생태네트워크(국가차원)  49□ 수도권 생태네트워크(지역차원) 53□ 시화지구 일대 생태네트워크 (지구차원)606. 국토생태네트워크 구축을 위한 추진전략 63□ 국토생태네트워크의 목표 및 기본방향 63□ 국토생태네트워크 구축 이후의 미래상 63□ 국토생태네트워크의 추진전략 647. 국토생태네트워크 강화를 위한 세부 실천방안86□ 생태네트워크 권역별 관리방안 86□ 생태네트워크 구성요소별 관리방안 86□ 생태네트워크 세부 조성기법 88□ 국토생태네트워크를 위한 추진기반95 참고문헌97                                    
1308,상수원 관리지역 주민지원사업 추진결과에 대한 평가,"송영일,,",수탁연구,2002-03-01,Ⅰ 서론11.1 과업의 필요성11.2 과업의 내용 및 추진방법2Ⅱ 주민지원사업의 현황52.1 「댐건설및주변지역지원등에관한법률」에 의한 주변지역지원사업 52.2 「발전소주변지역지원에관한법률」에 의한 주변지역지원사업72.3 「폐기물처리시설설치촉진및주변지역지원등에관한법률」의 주민지원사업102.4 「수도법」에 의한 주민지원사업132.5 「개발제한구역의지정및관리에관한특별조치법」에 의한 주민지원사업152.6  외국의 주민지원사업 사례172.6.1 일본의 비파호 종합개발 특별조치법에 의한 주민지원사업172.6.2 미국의 상수원법과 규약에 의한 주민지원사업182.6.3 독일 바덴-뷔르템베르크주의 주민지원19Ⅲ 사업평가에 대한 고찰213.1 평가의 목적213.2 평가연구의 유형233.2.1 대상적 관점에서의 평가유형233.2.2 목적적 관점에서의 평가유형25Ⅳ 주민지원사업의 평가274.1 주민지원사업 추진현황 평가284.1.1 지자체별 주민지원사업추진 평가284.1.2 주민지원사업비 중 직접지원사업비율에 대한 평가424.1.3 주민지원사업의 사업계획변경에 대한 평가444.1.4 2000년도 주민지원사업의 집행율에 대한 평가454.2 시<U+2024>군 자체평가의 9개 지표에 대한 평가474.2.1 총평474.2.2 사업계획수립시 주민의견 수렴정도484.2.3 주민지원사업추진위원회 구성<U+2024>운영 정도494.2.4 중<U+2024>장기 사업계획의 수립정도514.2.5 사업추진내용과 사업계획서와의 일치정도524.2.6 주민지원사업계획수립지침에 따른 예산집행 여부정도524.2.7 단위사업별 관리의 적정성 여부정도534.2.8 단위사업장별 지도<U+2024>점검 정도544.2.9 사업계획과 동일한 용도로의 이용정도544.2.10 사업추진에 대한 주민만족정도554.3 총괄평가의 5개지표에 대한 평가564.3.1 주민지원사업관련 홍보 정도564.3.2  공무원 인력체계574.3.3 주민지원사업 관련회의 공무원 참여정도574.3.4 사업계획 및 사업별 예산내역 공개 정도584.3.5 주민지원사업 관련 내부지침 및 업무편람 정비정도58Ⅴ 주민지원사업 평가의 보완 및 개선방안595.1 평가지표의 적정성검토595.1.1 1차자체평가 지표별 평가자료의 접근성 및 신뢰성615.1.2 평가지표의 총괄적 검토705.2 주민지원사업 평가지표의 개선방안795.2.1  지표별 개선점795.2.2 추가적인 평가지표855.2.3 주민지원사업의 평가지표 개선(안)865.3 평가방법의 보완1165.3.1 평가범위의 구분1165.3.2 평가단의 구성방안117Ⅵ 주민지원사업의 문제점 및 개선방안1196.1 주민지원사업의 정의 및 필요성1196.2 주민지원사업의 문제점과 개선방안1206.2.1 변경승인절차의 간소화1206.2.2 직접지원사업의 소요처 부재 개선방안1276.2.3 사업계획의 수립절차1316.2.4 특별대책지역Ⅱ권역의 주민지원사업비 지원영역 확대1336.2.5 일반지원으로 설치한 시설에 대한 운영비 지원1376.2.6 사업비 집행잔액에 대한 처리1406.2.7 오염물질정화사업 시행의 곤란1416.2.8 지원사업 대상자 인정기준1426.2.9 재전입 원주민의  구제방안1466.2.10 일반지원사업의 소요처 부재1486.2.11 마을공동시설 소유권이전 149참고문헌151부록153                                    
1309,2002년 지속가능발전세계정상회의(WSSD)대응전략 및 기여방안 연구,"한화진,김용건,조승헌,강만옥,정영근,",수탁연구,2002-02-27,I. 연구의 개요11. 연구의 배경 및 필요성12. 연구기간43. 연구의 목적 및 체계4II. WSSD 관련 논의 동향 조사 및 분석71. WSSD 준비회의7  1.1 1차 준비회의7  1.2 2차 준비회의9  1.3 향후 준비회의 계획132. WSSD 지역회의14  2.1 중남미와 카리브해지역14  2.2 서아시아지역16  2.3 아시아태평양지역19  2.4 아프리카지역22  2.5 유럽과 북미지역23  2.6 5개 지역회의의 종합25III. 주요의제별 현황 및 국가대응전략371. 세계화37  1.1 국외현황37  1.2 국내현황38  1.3 향후 입장 수립시 검토요망 사항382. 빈곤39  2.1 국외현황39  2.2 국내현황41  2.3 향후 입장 수립시 검토요망 사항423. 지속가능한 소비와 생산43  3.1 국외현황43  3.2 국내현황45  3.3 향후 입장 수립시 검토요망 사항464. 에너지47  4.1 국외현황47  4.2 국내현황48  4.3 향후 입장 수립시 검토요망 사항495. 건강 50  5.1 국외현황50  5.2 국내현황 52  5.3 향후 입장 수립시 검토요망 사항536. 생물다양성54  6.1 국외현황54  6.2 국내현황55  6.3 향후 입장 수립시 검토요망 사항567. 담수57  7.1 국외현황57  7.2 국내현황58  7.3 향후 입장 수립시 검토요망 사항598. 재원조달 및 확충60  8.1 국외현황60  8.2 국내현황61  8.3 향후 입장 수립시 검토요망 사항639. 기술이전63  9.1 국외현황63  9.2 국내현황65  9.3 향후 입장 수립시 검토요망 사항6610. 관리체제67  10.1 국외현황67  10.2 국내현황67  10.3 향후 입장 수립시 검토요망 사항69IV. UN 권고사항 및 대국민 인식증진 방안731. WSSD를 위한 UN 권고사항73  1.1 개요73  1.2 선정방법74  1.3 101가지 방법76  1.4 국가추진목표(NPT)1432. 대국민 인식증진 방안154  2.1 개요154  2.2 추진 방법155  2.3 홍보전략156  2.4 홍보방법157  2.5 시기별 추진계획159  2.6 홍보안 예시160V. 결론171참 고 문 헌173[부 록]부록 I. 제2차 준비회의 의장보고서177부록 II. 아시아 지역회의 결과222부록 III. 이행사례 및 NPT를 위한 설문271                                    
1310,(第3次)環境保全中期綜合計劃(시안),"정회성,강만옥,한화진,강광규,최지용,방상원,김광임,",수탁연구,2002,제1편 기본구상과 미래비전  제1부  환경정책의 추진성과 평가와 향후전망    제1장 우리나라 환경정책의 추진성과 평가     제2장 환경정책의 여건변화 및 과제  제2부 제3차 환경개선 중기계획의 목표와 추진방향     제1장 계획의 목표와 추진체계    제2장 추진전략과 구조제2편 부문별 정책과제와 추진계획  제3부 쾌적하고 건강한 생활환경 조성    제1장 대기질 관리    제2장 수질환경관리    제3장 상·하수도    제4장 폐기물 및 재활용    제5장 유해화학물질 관리  제4부 생명이 번창하는 자연환경 보전     제6장 국토관리의 환경친화성 강화    제7장 토양관리와 지하수 이용    제8장 해양환경관리    제9장 자연생태계 및 생물자원 보전   제5부 지구·지역환경 보전 및 개선의 선도   제10장 지구환경문제 대응   제11장 동북아 및 지역환경협력   제12장 남북 환경협력   제13장 WSSD 후속체제 대응   제14장 환경통상 지평의 확대제3편 환경관리 기반 및 지원체계의 강화  제6부 환경과 경제가 공영하는 복지사회    제1장 환경과경제의 통합    제2장 환경기술과 환경산업    제3장 환경기초시설의 관리    제4장 환경경영과 자발적 환경관리  제7부 지식기반의 열린 환경관리체계 구축    제5장 환경관리체계    제6장 환경정보화    제7장 환경교육 및 홍보제4편 제3차 계획의 추진체계와 투자소요  제8부 계획의 범위와 주요사업내용  제9부 투자소요부록 : 제2차 환경보전중기종합계획의 분야별 추진성과                                     
1311,국내개발 GMO의 효율적인 안전관리체계 구축방안,"박용하,방상원,",수탁연구,2002,"Ⅰ 서문  1. 과제의 배경 및 필요성  2. 연구목적 , 내용 및 접근방법Ⅱ 국내 GMO농작물 개발현황 및 상품화 전망  1. GM 농작물 개발현황   2. GM 농작물 상품화 전망Ⅲ GMO의 안전관리를 위한 법·제도·지침   1. 우리나라  2. 미국  3. 캐나다   4. EU  5. 영국  6. 일본   7. 법·제도 장치의 비교분석 Ⅳ 국내개발 GM 농작물의 안전관리 방안   1. 우리나라의 정책개선방향  2. 농림부/농촌진흥청 및 관련 타부처의 기본역할  3. 농촌진흥청의 GM 농작물의 안전관리방안 Ⅴ 결론  1. 요약 및 결론  2. 과제의 한계 및 향후 연구방향인용문헌 부록1. 직물유전체 기능연구 사업단 주요 과제명2. 설문내용3. 세계에서 상품화된 GM 농작물 4. 유전변형생물체의국가간이동등에관한법률 5. 농업연구관련 유전자재조합체 실험 및 취급규정6. 유전변형농산물의 환경위해성평가심사지침7. 종자산업법의 GM 농작물 안전관리 관련 조항8. 일본, 캐나다, OECD, EC, UNEP에서의 GMO의 환경위해성평가 및 환경방출지침                                     "
1312,ECO-2 Project 2002,"장기복,김정린,이강인,명진숙,",수탁연구,2002,Ⅰ 총괄  1. 사업의 개용  2. 주요사업내용Ⅱ 자료집  1. 재활용제품 소비촉진 방안   2. 생산자기구 (재활용사업공제조합) 독점화 문제 및 인가기준  3. 폐컴퓨터 및 폐프린터 재활용 활성화 방안  4. 생산자 재활용제의 조기정착 방안 (전자산업계를 중심으로 )  5. 생산자책임재활용제도의 정책기반 구축방안 (재활용 인정기준을 중심으로 )  6. 재활용 향상을 위한 기술개발현황 및 지원방안  7. 플라스틱 폐기물 수집량과 재활용량 실태조사 결과                                     
